record_type,match_id,team_a_abbr,team_b_abbr,team_a_name,team_b_name,date,time,ml_a,ml_b,ml_draw,ml_a_pct,ml_b_pct,ml_draw_pct,total_line,team_a_total,team_b_total,score_a,score_b,matrix_prob,team,pos,slot,name,flex_salary,cpt_salary,fpts,fpts_per_k,flex_opto_pct,cpt_opto_pct,flex_proj_own,cpt_proj_own,minutes,xg,xa,shots,goal_odds,goal_book,assist_odds,assist_book,soa_odds,soa_book,sot_line,sot_odds,sot_book,ck_taker,fk_taker,inj_status,inj_detail,preview_type,preview_text,preview_team
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,M3,Leandro Paredes,4400,6600,6.51,1.48,19.45,0.98,20.00,1.00,84.0,0.07,0.09,0.65,3000,Caesars NJ,800,FanDuel NJ,550,bet365 NJ,1.5,3300,Skybet,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,D4,Nahuel Molina,4000,6000,6.27,1.567,22.04,1.09,18.00,1.66,84.0,0.02,0.08,0.32,4000,Caesars NJ,900,Caesars NJ,700,bet365 NJ,1.5,6000,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,D2,Lisandro Martinez,3800,5600,4.66,1.226,10.25,0.38,2.33,0.10,90.0,0.01,0.04,0.3,4500,Caesars NJ,2700,FanDuel NJ,1200,FanDuel NJ,1.5,6000,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,D3,Cristian Romero,3600,5400,5.81,1.614,19.22,0.87,20.00,0.66,90.0,0.03,0.03,0.37,3300,Caesars NJ,1800,bet365 NJ,1100,bet365 NJ,1.5,4000,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,S1,Mikel Oyarzabal,10200,15200,11.92,1.169,25.02,8.66,17.67,3.65,82.0,0.43,0.12,2.45,550,Caesars NJ,550,FanDuel NJ,135,FanDuel NJ,1.5,700,Skybet,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,M4,Lamine Yamal,9800,14800,16.34,1.667,36.61,20.08,56.00,28.52,90.0,0.31,0.18,3.05,700,Caesars NJ,305,Caesars NJ,120,FanDuel NJ,1.5,600,Betfair UK,1,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,M1,Alex Baena,8400,12600,11.57,1.377,29.33,6.43,36.67,8.96,68.0,0.15,0.16,1.79,1300,Caesars NJ,490,FanDuel NJ,230,FanDuel NJ,1.5,1400,Betfair UK,1,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,D4,Pedro Porro,8000,12000,10.84,1.355,33.87,4.5,28.33,4.64,88.0,0.04,0.13,1.02,2800,Caesars NJ,625,Caesars NJ,450,bet365 NJ,1.5,4000,Skybet,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,GK1,Unai Simon,5800,8800,7.05,1.216,28.04,1.92,8.67,0.10,90.0,0.0,0.0,0.0,,,,,,,,,,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ESP,,F1,Dani Olmo,6400,9600,9.6,1.5,26.03,4.84,29.33,5.64,74.0,0.18,0.15,1.8,1100,Caesars NJ,500,FanDuel NJ,220,FanDuel NJ,1.5,1400,Betfair UK,0,0,,,,,
